<cur_step>,<num_susceptible>,<num_infected>,<num_recovered>
397,47,3,0
398,47,3,0
399,47,3,0
400,47,3,0
401,47,3,0
402,47,3,0
403,47,3,0
404,47,3,0
405,47,3,0
406,47,3,0
407,47,3,0
408,47,3,0
409,47,3,0
410,47,3,0
411,47,3,0
412,47,3,0
413,47,3,0
414,47,3,0
415,47,3,0
416,47,3,0
417,47,3,0
418,47,3,0
419,47,3,0
420,47,3,0
421,47,3,0
422,47,3,0
423,47,3,0
424,47,3,0
425,47,3,0
426,47,3,0
427,47,3,0
428,47,3,0
429,47,3,0
430,47,3,0
431,47,3,0
432,47,3,0
433,47,3,0
434,47,3,0
435,47,3,0
436,47,3,0
437,47,3,0
438,47,3,0
439,47,3,0
440,47,3,0
441,47,3,0
442,47,3,0
443,47,3,0
444,47,3,0
445,47,3,0
446,47,3,0
447,47,3,0
448,47,3,0
449,47,3,0
450,47,3,0
451,47,3,0
452,47,3,0
453,47,3,0
454,47,3,0
455,47,3,0
456,47,3,0
457,47,3,0
458,47,3,0
459,47,3,0
460,47,3,0
461,47,3,0
462,47,3,0
463,47,3,0
464,47,3,0
465,47,3,0
466,47,3,0
467,47,3,0
468,47,3,0
469,47,3,0
470,47,3,0
471,47,3,0
472,47,3,0
473,47,3,0
474,47,3,0
475,47,3,0
476,47,3,0
477,47,3,0
478,47,3,0
479,47,3,0
480,47,3,0
481,47,3,0
482,47,3,0
483,47,3,0
484,47,3,0
485,47,3,0
486,47,3,0
487,47,3,0
488,47,3,0
489,47,3,0
490,47,3,0
491,47,3,0
492,47,3,0
493,47,3,0
494,47,3,0
495,47,3,0
496,47,3,0
497,47,3,0
498,47,3,0
499,47,3,0
500,47,3,0
501,47,3,0
502,47,3,0
503,47,3,0
504,47,3,0
505,47,3,0
506,47,3,0
507,47,3,0
508,47,3,0
509,47,3,0
510,47,3,0
511,47,3,0
512,47,3,0
513,47,3,0
514,47,3,0
515,47,3,0
516,47,3,0
517,47,3,0
518,47,3,0
519,47,3,0
520,47,3,0
521,47,3,0
522,47,3,0
523,47,3,0
524,47,3,0
525,47,3,0
526,47,3,0
527,47,3,0
528,47,3,0
529,47,3,0
530,47,3,0
531,47,3,0
532,47,3,0
533,47,3,0
534,47,3,0
535,47,3,0
536,47,3,0
537,47,3,0
538,47,3,0
539,47,3,0
540,47,3,0
541,47,3,0
542,47,3,0
543,47,3,0
544,47,3,0
545,47,3,0
546,47,3,0
547,47,3,0
548,47,3,0
549,47,3,0
550,47,3,0
551,47,3,0
552,47,3,0
553,47,3,0
554,47,3,0
555,47,3,0
556,47,3,0
557,47,3,0
558,47,3,0
559,47,3,0
560,47,3,0
561,47,3,0
562,47,3,0
563,47,3,0
564,47,3,0
565,47,3,0
566,47,3,0
567,47,3,0
568,47,3,0
569,47,3,0
570,47,3,0
571,47,3,0
572,47,3,0
573,47,3,0
574,47,3,0
575,47,3,0
576,47,3,0
577,47,3,0
578,47,3,0
579,47,3,0
580,47,3,0
581,46,4,0
582,46,4,0
583,46,4,0
584,46,4,0
585,46,4,0
586,46,4,0
587,46,4,0
588,46,4,0
589,46,4,0
590,46,4,0
591,46,4,0
592,46,4,0
593,46,4,0
594,46,4,0
595,46,4,0
596,46,4,0
597,46,4,0
598,46,4,0
599,46,4,0
600,46,4,0
601,46,4,0
602,46,4,0
603,46,4,0
604,46,4,0
605,46,4,0
606,46,4,0
607,46,4,0
608,46,4,0
609,46,4,0
610,46,4,0
611,46,4,0
612,46,4,0
613,46,4,0
614,46,4,0
615,46,4,0
616,46,4,0
617,46,4,0
618,46,4,0
619,46,4,0
620,46,4,0
621,46,4,0
622,46,4,0
623,46,4,0
624,46,4,0
625,46,4,0
626,46,4,0
627,46,4,0
628,46,4,0
629,46,4,0
630,46,4,0
631,46,4,0
632,46,4,0
633,46,4,0
634,46,4,0
635,46,4,0
636,46,4,0
637,46,4,0
638,46,4,0
639,46,4,0
640,46,4,0
641,46,4,0
642,46,4,0
643,46,4,0
644,46,4,0
645,46,4,0
646,46,4,0
647,45,5,0
648,45,5,0
649,45,5,0
650,45,5,0
651,45,5,0
652,45,5,0
653,45,5,0
654,45,5,0
655,45,5,0
656,45,5,0
657,45,5,0
658,45,5,0
659,45,5,0
660,45,5,0
661,45,5,0
662,45,5,0
663,45,5,0
664,45,5,0
665,45,5,0
666,45,5,0
667,45,5,0
668,45,5,0
669,45,5,0
670,45,5,0
671,45,5,0
672,45,5,0
673,45,5,0
674,45,5,0
675,45,5,0
676,45,5,0
677,45,5,0
678,45,5,0
679,45,5,0
680,45,5,0
681,45,5,0
682,45,5,0
683,45,5,0
684,45,5,0
685,45,5,0
686,45,5,0
687,45,5,0
688,45,5,0
689,45,5,0
690,45,5,0
691,45,5,0
692,45,5,0
693,45,5,0
694,45,5,0
695,45,5,0
696,45,5,0
697,45,5,0
698,45,5,0
699,45,5,0
700,45,5,0
701,45,5,0
702,45,5,0
703,45,5,0
704,45,5,0
705,45,5,0
706,45,5,0
707,45,5,0
708,45,5,0
709,45,5,0
710,45,5,0
711,45,5,0
712,45,5,0
713,45,5,0
714,45,5,0
715,45,5,0
716,45,5,0
717,45,5,0
718,45,5,0
719,45,5,0
720,45,5,0
721,45,5,0
722,45,5,0
723,45,5,0
724,45,5,0
725,45,5,0
726,45,5,0
727,45,5,0
728,45,5,0
729,45,5,0
730,45,5,0
731,45,5,0
732,45,5,0
733,45,5,0
734,45,5,0
735,45,5,0
736,45,5,0
737,45,5,0
738,45,5,0
739,45,5,0
740,45,5,0
741,45,5,0
742,45,5,0
743,45,5,0
744,45,5,0
745,45,5,0
746,45,5,0
747,45,5,0
748,45,5,0
749,45,5,0
750,45,5,0
751,45,5,0
752,45,5,0
753,45,5,0
754,45,5,0
755,45,5,0
756,45,5,0
757,45,5,0
758,45,5,0
759,45,5,0
760,45,5,0
761,45,5,0
762,45,5,0
763,45,5,0
764,45,5,0
765,45,5,0
766,45,5,0
767,45,5,0
768,45,5,0
769,45,5,0
770,44,6,0
771,44,6,0
772,44,6,0
773,44,6,0
774,44,6,0
775,44,6,0
776,44,6,0
777,44,6,0
778,44,6,0
779,44,6,0
780,44,6,0
781,44,6,0
782,44,6,0
783,44,6,0
784,44,6,0
785,44,6,0
786,44,6,0
787,44,6,0
788,44,6,0
789,44,6,0
790,44,6,0
791,44,6,0
792,44,6,0
793,44,6,0
794,44,6,0
795,44,6,0
796,44,6,0
797,44,6,0
798,44,6,0
799,44,6,0
800,43,7,0
801,43,7,0
802,43,7,0
803,43,7,0
804,43,7,0
805,43,7,0
806,43,7,0
807,43,7,0
808,43,7,0
809,43,7,0
810,43,7,0
811,43,7,0
812,43,7,0
813,43,7,0
814,43,7,0
815,43,7,0
816,43,7,0
817,43,7,0
818,43,7,0
819,43,7,0
820,43,7,0
821,43,7,0
822,43,7,0
823,43,7,0
824,42,8,0
825,42,8,0
826,42,8,0
827,42,8,0
828,42,8,0
829,42,8,0
830,42,8,0
831,42,8,0
832,42,8,0
833,42,8,0
834,42,8,0
835,42,8,0
836,42,8,0
837,42,8,0
838,42,8,0
839,42,8,0
840,42,8,0
841,42,8,0
842,42,8,0
843,42,8,0
844,42,8,0
845,42,8,0
846,42,8,0
847,42,8,0
848,42,8,0
849,42,8,0
850,42,8,0
851,42,8,0
852,42,8,0
853,42,8,0
854,42,8,0
855,42,8,0
856,42,8,0
857,42,8,0
858,42,8,0
859,42,8,0
860,42,8,0
861,42,8,0
862,42,8,0
863,42,8,0
864,42,8,0
865,42,8,0
866,42,8,0
867,42,8,0
868,42,8,0
869,42,8,0
870,42,8,0
871,42,8,0
872,42,8,0
873,41,9,0
874,41,9,0
875,41,9,0
876,41,9,0
877,41,9,0
878,41,9,0
879,41,9,0
880,41,9,0
881,41,9,0
882,41,9,0
883,41,9,0
884,41,9,0
885,41,9,0
886,41,9,0
887,41,9,0
888,41,9,0
889,41,9,0
890,41,9,0
891,41,9,0
892,41,9,0
893,41,9,0
894,41,9,0
895,41,9,0
896,41,9,0
897,41,9,0
898,41,9,0
899,41,9,0
900,41,9,0
901,41,9,0
902,41,9,0
903,41,9,0
904,41,9,0
905,41,9,0
906,41,9,0
907,41,9,0
908,41,9,0
909,41,9,0
910,41,9,0
911,41,9,0
912,41,9,0
913,41,9,0
914,40,10,0
915,40,10,0
916,40,10,0
917,40,10,0
918,40,10,0
919,40,10,0
920,40,10,0
921,40,10,0
922,40,10,0
923,40,10,0
924,40,10,0
925,40,10,0
926,40,10,0
927,40,10,0
928,40,10,0
929,40,10,0
930,40,10,0
931,40,10,0
932,40,10,0
933,40,10,0
934,40,10,0
935,40,10,0
936,40,10,0
937,40,10,0
938,40,10,0
939,40,10,0
940,40,10,0
941,40,10,0
942,40,10,0
943,40,10,0
944,40,10,0
945,40,10,0
946,40,10,0
947,40,10,0
948,40,10,0
949,40,10,0
950,40,10,0
951,40,10,0
952,40,10,0
953,40,10,0
954,40,10,0
955,40,10,0
956,40,10,0
957,40,10,0
958,40,10,0
959,40,10,0
960,39,11,0
961,39,11,0
962,39,11,0
963,39,11,0
964,39,11,0
965,39,11,0
966,39,11,0
967,39,11,0
968,39,11,0
969,39,11,0
970,39,11,0
971,39,11,0
972,39,11,0
973,39,11,0
974,39,11,0
975,39,11,0
976,39,11,0
977,38,12,0
978,38,12,0
979,38,12,0
980,38,12,0
981,38,12,0
982,38,12,0
983,38,12,0
984,38,12,0
985,38,12,0
986,38,12,0
987,38,12,0
988,38,12,0
989,38,12,0
990,38,12,0
991,38,12,0
992,38,12,0
993,38,12,0
994,38,12,0
995,38,12,0
996,38,12,0
997,38,12,0
998,38,12,0
999,38,12,0
1000,38,12,0
1001,38,12,0
1002,38,12,0
1003,38,12,0
1004,38,12,0
1005,38,12,0
1006,38,12,0
1007,38,12,0
1008,38,12,0
1009,38,12,0
1010,38,12,0
1011,38,12,0
1012,38,12,0
1013,38,12,0
1014,38,12,0
1015,38,12,0
1016,38,12,0
1017,38,12,0
1018,38,12,0
1019,38,12,0
1020,38,12,0
1021,38,12,0
1022,38,12,0
1023,38,12,0
1024,38,12,0
1025,38,12,0
1026,38,12,0
1027,38,12,0
1028,38,12,0
1029,38,12,0
1030,38,12,0
1031,38,12,0
1032,38,12,0
1033,38,12,0
1034,38,12,0
1035,38,12,0
1036,38,12,0
1037,38,12,0
1038,38,12,0
1039,38,12,0
1040,38,12,0
1041,38,12,0
1042,38,12,0
1043,38,12,0
1044,38,12,0
1045,38,12,0
1046,38,12,0
1047,38,12,0
1048,38,12,0
1049,38,12,0
1050,38,12,0
1051,38,12,0
1052,38,12,0
1053,38,12,0
1054,38,12,0
1055,38,12,0
1056,38,12,0
1057,38,12,0
1058,38,12,0
1059,38,12,0
1060,38,12,0
1061,38,12,0
1062,38,12,0
1063,38,12,0
1064,38,12,0
1065,38,12,0
1066,38,12,0
1067,38,12,0
1068,38,12,0
1069,38,12,0
1070,38,12,0
1071,38,12,0
1072,38,12,0
1073,38,12,0
1074,38,12,0
1075,38,12,0
1076,38,12,0
1077,38,12,0
1078,38,12,0
1079,38,12,0
1080,38,12,0
1081,38,12,0
1082,38,12,0
1083,38,12,0
1084,38,12,0
1085,38,12,0
1086,38,12,0
1087,38,12,0
1088,38,12,0
1089,38,12,0
1090,38,12,0
1091,38,12,0
1092,38,12,0
1093,38,12,0
1094,38,12,0
1095,38,12,0
1096,38,12,0
1097,38,12,0
1098,38,12,0
1099,38,12,0
1100,37,13,0
1101,37,13,0
1102,37,13,0
1103,37,13,0
1104,37,13,0
1105,37,13,0
1106,37,13,0
1107,37,13,0
1108,37,13,0
1109,37,13,0
1110,37,13,0
1111,37,13,0
1112,36,14,0
1113,36,14,0
1114,36,14,0
1115,36,14,0
1116,36,14,0
1117,36,14,0
1118,36,14,0
1119,36,14,0
1120,36,14,0
1121,36,14,0
1122,36,14,0
1123,36,14,0
1124,36,14,0
1125,36,14,0
1126,36,14,0
1127,36,14,0
1128,36,14,0
1129,36,14,0
1130,36,14,0
1131,36,14,0
1132,36,14,0
1133,35,15,0
1134,35,15,0
1135,35,15,0
1136,35,15,0
1137,34,16,0
1138,34,16,0
1139,34,16,0
1140,34,16,0
1141,33,17,0
1142,33,17,0
1143,33,17,0
1144,33,17,0
1145,33,17,0
1146,33,17,0
1147,33,17,0
1148,33,17,0
1149,33,17,0
1150,33,17,0
1151,33,17,0
1152,33,17,0
1153,33,17,0
1154,33,17,0
1155,33,17,0
1156,33,17,0
1157,33,17,0
1158,33,17,0
1159,33,17,0
1160,33,17,0
1161,33,17,0
1162,33,17,0
1163,33,17,0
1164,33,17,0
1165,33,17,0
1166,33,17,0
1167,33,17,0
1168,32,18,0
1169,32,18,0
1170,32,18,0
1171,32,18,0
1172,32,18,0
1173,32,18,0
1174,32,18,0
1175,32,18,0
1176,32,18,0
1177,32,18,0
1178,32,18,0
1179,32,18,0
1180,32,18,0
1181,32,18,0
1182,32,18,0
1183,32,18,0
1184,32,18,0
1185,32,18,0
1186,32,18,0
1187,32,18,0
1188,32,18,0
1189,32,18,0
1190,32,18,0
1191,32,18,0
1192,32,18,0
1193,32,18,0
1194,32,18,0
1195,32,18,0
1196,32,18,0
1197,32,18,0
1198,32,18,0
1199,32,18,0
1200,32,18,0
1201,32,18,0
1202,32,18,0
1203,32,18,0
1204,32,18,0
1205,32,18,0
1206,32,18,0
1207,32,18,0
1208,32,18,0
1209,31,19,0
1210,31,19,0
1211,31,19,0
1212,31,19,0
1213,31,19,0
1214,31,19,0
1215,30,20,0
1216,30,20,0
1217,30,20,0
1218,30,20,0
1219,30,20,0
1220,30,20,0
1221,30,20,0
